قبل از تغییر دادن شیت کامنت این خونه رو بخونید.,,,رشته و مقطع,,,,,,نمرات,,,,,,,,,,,,,,ریکام,,,,دستیار آموزشی,اینترن‌شیپ (زمینه / دانشگاه - موسسه / و ترجیحا استاد),ریسرچ,,سایر موارد رزومه,تجربیات شخصی (خیلی خوبه اگر در این قسمت لینک بلاگ یا گوگل داک از تجربیاتتون بذارید.),ســـــــــــــــــــــــــفـــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــارت (این بخش در اصل برای آمریکاست ولی برای کشورهای دیگه هم با ذکر کشور پر کنید خوبه.),,,,,,,,,,,,,
,,,مقطع و سال ورود,رشته,رشته‌ی دوم,ماینور,گرایش (فقط ارشدها),فیلد اپلای,معدل,GRE,,,TOEFL,,,,,IELTS,,,,,۱,۲,۳,بیشتر!,,,استاد(ها) و زمینه(ها)‌ی ریسرچ,مقاله با ذکر زمینه و ترجیحا ژورنال (کنفرانس!),,,محل,تاریخ گرفتن وقت (پرداخت mrv fee),وقت اولیه,وقت بعد از Reschedule,خدمات شریف ویزا و امثالهم / هزینه,تاریخ اکسپت کردن آفر,تاریخ صدور I20,تاریخ درخواستی برای اکسپدایت,نتیجه اکسپدایت,هزینه سفر به سفارت,وضعیت ویزا,شرایط ویزا (سینگل / مولتی / ...),تاریخ صدور ویزا,سایر تجربیات مربوط به سفارت
,,,,,,,,,,W,Q,V,S,W,L,R,Tot,S,W,L,R,Tot,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۱,کلیت رزومه,,کارشناسی ۹۷,علوم کامپیوتر,,,,"Programming Languages,
Formal Methods,
Systems",17.21,4,168,152,24,29,30,26,109,,,,,,دکتر تفاق,محل کار,خارج دانشگاه,"دکتر ارشدی،
دکتر زارعی،",AP - جبرخطی کاربردی,,دکتر تفاق، بلاکچین/روش‌های فرمال,,"دو سال سابقه کار برنامه نویسی

کمی تجربه تدریس المپیاد و جاهای دیگر

کمی open-source

تعداد خوبی درس ارشد داشتم که توی روند داستانم در SoP نسبتا مهم بوده

-----------

.retrospective: these things don't really matter, unless you can present them in a good way","https://docs.google.com/document/d/1UPVfE78pHCUfBqBf2czN0HtieW9Ayc9pJDH1U2vA9ig/edit?usp=sharing


من به شخصه چون از دانشگاه خودمون توی این فیلدا نمی‌شناختم کسی رو که بخواد اپلای کنه خیلی رو هوا هر جایی خوشم اومد اپلای کردم (و بعدا فهمیدم به شدت competitive تر از چیزی بودن که فکر می‌کردم). خوبه که سعی کنید یه سری آدم (حتی شده خارج از دانشگاه) پیدا کنید و یه حس و حالی به دست بیارید که شانس قبولیتون جاهای مختلف چه قدره. یه سری دانشگاه‌هایی هم کلا به نظر میاد با ایرانیا حال نمی‌کنن، یا مثلا یه گیرهایی می‌دن که لزوما نمی‌تونید اوکیش کنید. مثلا یکی دو تا دانشگاه شنیدم حتما کارنامه‌ی رسمی می‌خوان قبل از فارغ شدن که خب شدنی نیست با شرایط الان. و عملا پولتون رو می‌ریزید دور اگر چنین جایی رو اپلای کنید. کلا حرفم اینه که پروسه رو یکم زودتر شروع کنید و تحقیق کنید که اصن چه جاهایی خوبه اپلای کنید.

سر ریکام گرفتن هم می‌دونم که ملت اذیت شدن بعضا. اگر براتون مقدوره سعی کنید از یه سری آدم ریکام بگیرید که حداقل سر وقت ریکام رو می‌رسونند و خیلی استرس بهتون وارد نمی‌کنن. من خوشبختانه از این لحاظ اساتید خیلی لطف داشتن بهم. ولی خودم هم از ماه ها قبل بهشون گفته بودم و یادآوری می‌کردم.",دوبی,September 2021,May 5th,June 8th,3 mill,March. 19,April. 13,,,,,,,سفارت خیلی لطف داشت و وقت اولیم رو کنسل کرد. دیگه تهش مجبور شدم با این کسایی که بات دارن هماهنگ کنم یه وقتی بگیرم.
,دانشگاه,,UIUC,Purdue,Washington,UPenn,UBC,U of T,Utah,Cornell,,,Chicago,,,,,Maryland,,,,,NYU,Northeastern,Harvard,UCSD,UCSC,Wisconsin,MIT,Stevens,,,,,,,,,,,,,,,,
,Degree,,Ph.D.,Ph.D.,Ph.D.,Ph.D.,M.Sc.,Ph.D.,Ph.D.,Ph.D.,,,Ph.D.,,,,,Ph.D.,,,,,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,,,,,,,,,,,,,,,,
,Department,,CS,CS,CSE,CIS,CS,CS,CS,CS,,,CS,,,,,CS,,,,,CS,CS,CS,CSE,CSE,CS,EECS,CS,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,PL,PL,PL,PL,PL/Systems,PL/Systems,PL,PL,,,PL,,,,,PL,,,,,PL/Systems,PL/Systems,PL,PL,PL/Systems,PL,PL/Systems,PL,,,,,,,,,,,,,,,,
,مصاحبه,,قبل از سابمیشن,قبل از سابمیشن,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,بعد از سابمیشن,بدون مصاحبه,بدون مصاحبه,,,بدون مصاحبه,,,,,بدون مصاحبه,,,,,بعد از سابمیشن,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,بعد از سابمیشن,بدون مصاحبه,بدون مصاحبه,بعد از سابمیشن,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,REJ,Applied,REJ,REJ,Applied,Applied,REJ,REJ,,,REJ,,,,,Applied,,,,,REJ,REJ,REJ,REJ,Final Decision,REJ,REJ,ACC-Withdraw,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,Mar. 15,,Feb 3,Mar. 18,,,Apr. 13th,Mar. 10,,,Mar 2,,,,,,,,,,April. 15,April. 15,Feb. 17,April. 9,Feb. 24,Feb 14,Mar. 14,Feb. 25,,,,,,,,,,,,,,,,
,فاند,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,957 (for 9 months) + $2,500 housing supplement + (in the summer) can either work with advisor and get pair extra, or do outside internship",,,"$25,944 + $2,882/month for summer",,,,,,,,,,,,,,,,
